ELNT
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/18/1996
10/24/1996
1/23/1997
4/17/1997
7/17/1997
10/23/1997
1/15/1998
4/16/1998
7/16/1998
10/26/1998
1/21/1999
4/20/1999
7/15/1999
11/2/1999
1/18/2000
4/18/2000
7/13/2000
10/19/2000
1/16/2001
4/12/2001
7/18/2001
10/25/2001
1/15/2002
4/11/2002
