TLEO
LATEST_ANNOUNCEMENT_DT
5/31/2005
8/15/2005
11/2/2005
4/17/2006
5/22/2006
8/14/2006
11/13/2006
2/15/2007
5/7/2007
8/2/2007
11/1/2007
2/6/2008
5/6/2008
7/31/2008
11/3/2008
4/30/2009
5/7/2009
7/30/2009
10/28/2009
2/10/2010
4/28/2010
7/28/2010
10/28/2010
2/9/2011
5/5/2011
8/4/2011
11/1/2011
2/15/2012
