AREX
LATEST_ANNOUNCEMENT_DT
12/12/2007
3/19/2008
5/6/2008
8/5/2008
11/5/2008
3/10/2009
5/5/2009
8/4/2009
11/3/2009
3/9/2010
5/4/2010
8/3/2010
11/2/2010
3/8/2011
5/4/2011
8/2/2011
11/2/2011
3/8/2012
5/3/2012
8/2/2012
11/5/2012
2/21/2013
5/2/2013
8/1/2013
11/7/2013
2/24/2014
5/8/2014
8/4/2014
11/5/2014
2/25/2015
5/6/2015
8/5/2015
11/4/2015
3/3/2016
