DRTE
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/23/1996
10/22/1996
2/11/1997
4/22/1997
7/22/1997
10/15/1997
2/5/1998
4/21/1998
7/21/1998
10/21/1998
1/27/1999
4/26/1999
7/22/1999
10/20/1999
1/25/2000
4/18/2000
7/19/2000
10/19/2000
1/29/2001
4/18/2001
7/24/2001
10/23/2001
1/24/2002
4/30/2002
7/25/2002
10/24/2002
1/29/2003
4/24/2003
8/12/2003
10/23/2003
1/29/2004
4/27/2004
8/5/2004
10/21/2004
2/3/2005
4/28/2005
7/28/2005
10/27/2005
2/8/2006
5/3/2006
8/8/2006
11/2/2006
4/2/2007
