AKR
LATEST_ANNOUNCEMENT_DT
5/20/1996
5/14/1997
8/11/1997
11/10/1997
1/13/1998
5/15/1998
8/12/1998
11/15/1998
3/25/1999
5/13/1999
8/4/1999
11/2/1999
3/2/2000
5/1/2000
8/2/2000
11/6/2000
3/5/2001
5/1/2001
8/2/2001
11/6/2001
3/5/2002
4/30/2002
8/1/2002
11/4/2002
2/25/2003
4/30/2003
7/28/2003
11/3/2003
2/17/2004
4/22/2004
7/26/2004
11/1/2004
2/28/2005
4/25/2005
7/27/2005
10/28/2005
3/3/2006
4/26/2006
7/31/2006
10/25/2006
3/1/2007
4/26/2007
7/25/2007
10/29/2007
2/13/2008
4/29/2008
7/30/2008
10/29/2008
2/11/2009
4/29/2009
7/29/2009
10/27/2009
2/9/2010
4/27/2010
7/27/2010
10/26/2010
2/8/2011
4/26/2011
7/26/2011
10/25/2011
2/7/2012
4/24/2012
7/24/2012
10/23/2012
2/5/2013
4/23/2013
7/29/2013
10/22/2013
2/12/2014
4/30/2014
7/29/2014
10/28/2014
2/17/2015
4/29/2015
7/28/2015
11/3/2015
2/9/2016
04/26/2016
07/26/2016
10/25/2016
02/14/2017
04/25/2017
