WGL
LATEST_ANNOUNCEMENT_DT
3/31/1990
6/30/1990
9/30/1990
12/31/1990
3/31/1991
6/30/1991
9/30/1991
12/31/1991
3/31/1992
6/30/1992
10/28/1992
1/27/1993
4/28/1993
7/28/1993
10/27/1993
1/26/1994
4/27/1994
7/27/1994
10/26/1994
1/25/1995
4/26/1995
7/26/1995
10/25/1995
1/31/1996
4/24/1996
7/31/1996
10/30/1996
1/27/1997
4/30/1997
7/30/1997
10/29/1997
1/28/1998
4/29/1998
7/29/1998
10/28/1998
1/27/1999
4/26/1999
7/26/1999
10/27/1999
1/26/2000
4/26/2000
7/26/2000
11/1/2000
2/1/2001
5/2/2001
8/1/2001
10/31/2001
1/30/2002
5/1/2002
8/1/2002
11/4/2002
1/29/2003
4/30/2003
7/30/2003
11/3/2003
1/28/2004
4/28/2004
8/2/2004
11/4/2004
2/3/2005
4/27/2005
8/1/2005
11/30/2005
2/8/2006
5/3/2006
8/7/2006
11/7/2006
1/31/2007
4/26/2007
8/1/2007
11/8/2007
2/4/2008
4/30/2008
8/4/2008
11/13/2008
2/4/2009
4/29/2009
8/5/2009
11/12/2009
2/3/2010
5/5/2010
8/4/2010
11/17/2010
2/2/2011
5/4/2011
8/3/2011
11/18/2011
2/3/2012
5/2/2012
8/3/2012
11/15/2012
2/6/2013
5/1/2013
8/7/2013
11/13/2013
2/5/2014
5/7/2014
8/6/2014
11/12/2014
2/4/2015
5/6/2015
8/5/2015
11/13/2015
02/05/2016
05/04/2016
08/03/2016
11/16/2016
02/08/2017
05/03/2017
