SPPI
LATEST_ANNOUNCEMENT_DT
11/12/1996
3/20/1997
5/16/1997
8/14/1997
11/17/1997
3/31/1998
5/14/1998
8/14/1998
11/9/1998
3/31/1999
5/13/1999
8/6/1999
11/12/1999
3/24/2000
5/18/2000
8/14/2000
11/3/2000
3/20/2001
5/10/2001
8/14/2001
11/14/2001
3/14/2002
5/16/2002
8/19/2002
11/13/2002
3/31/2003
5/15/2003
8/18/2003
11/13/2003
3/29/2004
5/18/2004
8/16/2004
11/15/2004
3/15/2005
5/10/2005
8/9/2005
11/4/2005
3/15/2006
5/8/2006
8/8/2006
11/3/2006
3/14/2007
5/2/2007
8/9/2007
11/9/2007
3/14/2008
5/12/2008
8/12/2008
11/7/2008
3/31/2009
5/10/2009
8/13/2009
11/12/2009
4/5/2010
5/10/2010
8/9/2010
11/4/2010
3/10/2011
5/3/2011
8/4/2011
10/28/2011
3/1/2012
4/26/2012
8/8/2012
11/7/2012
2/21/2013
5/9/2013
8/7/2013
11/12/2013
3/6/2014
5/8/2014
8/7/2014
11/6/2014
3/13/2015
5/7/2015
8/6/2015
11/4/2015
3/9/2016
05/05/2016
08/09/2016
11/03/2016
03/08/2017
