FRED
LATEST_ANNOUNCEMENT_DT
5/21/1996
8/16/1996
11/19/1996
3/6/1997
5/16/1997
8/14/1997
11/13/1997
3/4/1998
5/14/1998
8/13/1998
11/12/1998
3/9/1999
5/14/1999
8/17/1999
11/16/1999
3/7/2000
5/16/2000
8/15/2000
11/14/2000
3/13/2001
5/22/2001
8/21/2001
11/20/2001
3/12/2002
5/28/2002
8/20/2002
11/21/2002
3/11/2003
5/22/2003
8/21/2003
11/20/2003
3/11/2004
5/20/2004
8/26/2004
11/23/2004
3/22/2005
5/26/2005
8/25/2005
11/22/2005
3/23/2006
5/24/2006
8/24/2006
11/21/2006
3/22/2007
5/31/2007
8/29/2007
11/29/2007
3/27/2008
5/29/2008
8/28/2008
11/26/2008
3/26/2009
5/28/2009
8/27/2009
11/24/2009
3/25/2010
5/26/2010
8/26/2010
11/23/2010
3/24/2011
5/26/2011
8/25/2011
11/22/2011
3/21/2012
5/24/2012
8/23/2012
11/20/2012
3/28/2013
5/30/2013
8/29/2013
11/26/2013
3/27/2014
5/29/2014
8/28/2014
11/25/2014
3/26/2015
5/28/2015
8/27/2015
11/24/2015
3/23/2016
05/26/2016
08/30/2016
12/08/2016
03/22/2017
