HH
LATEST_ANNOUNCEMENT_DT
4/30/1996
7/25/1996
10/24/1996
2/25/1997
4/23/1997
7/23/1997
10/23/1997
2/19/1998
4/23/1998
7/23/1998
11/13/1998
2/18/1999
4/22/1999
7/22/1999
10/22/1999
2/29/2000
4/20/2000
7/25/2000
10/25/2000
2/26/2001
4/26/2001
7/26/2001
10/25/2001
2/25/2002
4/25/2002
7/25/2002
10/24/2002
2/26/2003
4/24/2003
7/28/2003
10/28/2003
2/25/2004
4/28/2004
7/28/2004
10/27/2004
3/1/2005
4/28/2005
7/28/2005
10/31/2005
5/2/2006
6/30/2006
8/9/2006
11/14/2006
3/14/2007
5/9/2007
8/9/2007
11/9/2007
3/14/2008
5/9/2008
8/8/2008
11/7/2008
3/13/2009
5/8/2009
8/7/2009
11/6/2009
3/12/2010
5/7/2010
8/6/2010
11/5/2010
3/11/2011
5/13/2011
8/12/2011
11/11/2011
3/9/2012
5/11/2012
8/10/2012
11/16/2012
4/1/2013
5/10/2013
8/14/2013
11/14/2013
3/26/2014
5/14/2014
8/12/2014
11/13/2014
3/31/2015
5/14/2015
8/13/2015
11/12/2015
3/29/2016
