SCLN
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/25/1996
10/18/1996
1/23/1997
4/28/1997
7/28/1997
10/30/1997
2/2/1998
4/23/1998
7/23/1998
10/22/1998
3/31/1999
5/14/1999
7/22/1999
10/21/1999
2/3/2000
4/27/2000
7/17/2000
10/19/2000
2/15/2001
5/11/2001
8/1/2001
11/8/2001
2/7/2002
5/7/2002
8/6/2002
11/4/2002
2/4/2003
4/24/2003
7/28/2003
10/27/2003
2/24/2004
4/27/2004
8/4/2004
11/1/2004
2/23/2005
5/5/2005
8/9/2005
11/1/2005
3/1/2006
5/3/2006
8/9/2006
10/31/2006
3/15/2007
5/8/2007
8/7/2007
11/9/2007
3/13/2008
5/8/2008
7/29/2008
11/6/2008
3/3/2009
5/11/2009
8/4/2009
11/9/2009
3/2/2010
5/6/2010
8/9/2010
11/8/2010
3/31/2011
5/10/2011
8/9/2011
11/8/2011
3/13/2012
8/9/2013
8/8/2012
11/9/2012
3/13/2013
8/9/2013
8/7/2013
11/12/2013
3/12/2014
5/12/2014
8/11/2014
11/10/2014
3/11/2015
5/11/2015
8/10/2015
11/9/2015
3/10/2016
08/09/2016
11/09/2016
03/06/2017
