INT
LATEST_ANNOUNCEMENT_DT
5/22/1996
7/31/1996
10/30/1996
1/29/1997
5/14/1997
7/30/1997
10/29/1997
1/28/1998
5/20/1998
7/29/1998
10/29/1998
1/28/1999
5/26/1999
7/29/1999
10/28/1999
1/31/2000
5/25/2000
7/27/2000
11/1/2000
7/7/2006
9/30/2001
3/31/2002
6/30/2002
11/4/2002
3/20/2003
5/1/2003
7/30/2003
10/29/2003
2/25/2004
4/28/2004
8/5/2004
10/27/2004
3/2/2005
5/2/2005
8/9/2005
11/15/2005
3/16/2006
5/10/2006
8/9/2006
11/8/2006
3/1/2007
5/10/2007
8/9/2007
11/8/2007
2/28/2008
5/8/2008
8/7/2008
11/6/2008
2/26/2009
5/7/2009
8/6/2009
11/3/2009
2/25/2010
5/4/2010
8/3/2010
11/2/2010
2/24/2011
5/3/2011
8/2/2011
11/1/2011
2/23/2012
5/1/2012
8/1/2012
11/1/2012
2/21/2013
4/30/2013
7/31/2013
10/30/2013
2/12/2014
4/30/2014
7/30/2014
10/30/2014
2/12/2015
4/30/2015
7/30/2015
10/28/2015
2/11/2016
04/28/2016
07/27/2016
10/27/2016
02/14/2017
04/27/2017
