IDAI
LATEST_ANNOUNCEMENT_DT
6/14/2001
9/19/2001
6/14/2005
9/14/2005
12/14/2005
6/19/2006
9/19/2006
12/15/2006
5/16/2007
6/18/2007
9/18/2007
12/14/2007
5/15/2008
6/16/2008
9/18/2008
12/22/2008
