ENCZQ
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/29/1996
10/22/1996
2/20/1997
4/24/1997
7/24/1997
10/23/1997
2/23/1998
4/17/1998
7/22/1998
10/22/1998
2/18/1999
4/19/1999
7/21/1999
10/20/1999
2/23/2000
4/24/2000
7/25/2000
10/25/2000
3/27/2001
4/23/2001
8/13/2001
10/25/2001
2/21/2002
4/23/2002
7/23/2002
10/23/2002
2/20/2003
4/22/2003
7/23/2003
10/23/2003
2/25/2004
5/6/2004
8/4/2004
11/2/2004
3/31/2005
5/10/2005
8/9/2005
11/9/2005
3/31/2006
5/12/2006
7/28/2006
11/14/2006
