PLAT
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/18/1996
10/17/1996
2/19/1997
4/17/1997
7/22/1997
10/16/1997
2/10/1998
4/13/1998
7/14/1998
10/15/1998
2/9/1999
5/14/1999
