HL
LATEST_ANNOUNCEMENT_DT
4/30/1996
7/31/1996
11/11/1996
2/6/1997
4/30/1997
7/31/1997
10/31/1997
2/5/1998
4/30/1998
8/4/1998
11/3/1998
2/11/1999
4/29/1999
8/3/1999
11/2/1999
3/23/2000
5/2/2000
8/3/2000
11/7/2000
3/6/2001
5/10/2001
8/2/2001
11/1/2001
2/7/2002
5/2/2002
8/1/2002
11/5/2002
2/11/2003
5/1/2003
7/31/2003
11/4/2003
2/12/2004
5/4/2004
8/3/2004
11/4/2004
2/22/2005
5/4/2005
8/3/2005
11/8/2005
2/14/2006
5/3/2006
8/2/2006
11/9/2006
2/21/2007
5/2/2007
8/8/2007
11/8/2007
2/21/2008
5/12/2008
8/4/2008
11/4/2008
2/23/2009
4/28/2009
7/29/2009
11/3/2009
2/17/2010
4/28/2010
7/28/2010
10/26/2010
2/24/2011
5/9/2011
8/9/2011
11/8/2011
2/21/2012
5/8/2012
8/7/2012
11/6/2012
2/25/2013
5/10/2013
8/8/2013
11/5/2013
2/19/2014
5/5/2014
7/31/2014
11/5/2014
2/18/2015
5/7/2015
8/6/2015
11/4/2015
2/23/2016
