PGNFQ
LATEST_ANNOUNCEMENT_DT
4/26/1996
7/26/1996
10/25/1996
1/31/1997
4/25/1997
7/25/1997
10/24/1997
3/20/1998
5/1/1998
7/31/1998
11/2/1998
4/12/1999
5/12/1999
8/9/1999
11/10/1999
3/27/2000
5/8/2000
8/1/2000
10/27/2000
2/16/2001
5/2/2001
7/26/2001
10/25/2001
