MDCO
LATEST_ANNOUNCEMENT_DT
3/31/2000
9/11/2000
10/27/2000
2/14/2001
4/25/2001
7/25/2001
10/24/2001
2/12/2002
4/23/2002
7/23/2002
10/22/2002
2/11/2003
4/22/2003
7/22/2003
10/21/2003
2/10/2004
4/20/2004
7/20/2004
10/19/2004
2/23/2005
4/20/2005
7/20/2005
10/19/2005
2/15/2006
4/19/2006
7/25/2006
10/25/2006
2/14/2007
4/18/2007
7/25/2007
10/24/2007
2/13/2008
4/23/2008
7/23/2008
10/22/2008
2/18/2009
4/29/2009
7/29/2009
10/28/2009
2/17/2010
4/28/2010
7/28/2010
10/27/2010
2/16/2011
4/27/2011
7/27/2011
10/26/2011
2/22/2012
4/25/2012
7/25/2012
10/24/2012
2/20/2013
4/24/2013
7/24/2013
10/23/2013
2/19/2014
4/23/2014
7/23/2014
10/22/2014
2/18/2015
5/5/2015
7/29/2015
11/3/2015
2/17/2016
05/09/2016
07/27/2016
10/26/2016
02/28/2017
05/08/2017
