RDRTQ
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/17/1996
10/23/1996
1/22/1997
4/23/1997
7/23/1997
10/22/1997
1/21/1998
4/15/1998
7/15/1998
10/21/1998
1/20/1999
4/26/1999
7/14/1999
10/27/1999
1/10/2000
4/26/2000
7/26/2000
11/1/2000
1/24/2001
4/18/2001
7/25/2001
10/30/2001
1/30/2002
4/30/2002
7/31/2002
10/30/2002
1/29/2003
4/29/2003
