SMCI
LATEST_ANNOUNCEMENT_DT
12/14/2006
1/18/2007
5/9/2007
8/7/2007
10/31/2007
1/30/2008
4/29/2008
8/6/2008
10/29/2008
1/28/2009
4/29/2009
8/5/2009
10/27/2009
1/26/2010
4/27/2010
8/3/2010
10/26/2010
1/25/2011
4/26/2011
8/2/2011
10/25/2011
1/24/2012
4/24/2012
8/7/2012
10/23/2012
1/22/2013
4/23/2013
8/6/2013
10/22/2013
1/21/2014
4/22/2014
8/5/2014
10/21/2014
1/20/2015
4/21/2015
8/4/2015
10/22/2015
1/28/2016
04/28/2016
08/04/2016
10/27/2016
01/26/2017
04/27/2017
