IIVI
LATEST_ANNOUNCEMENT_DT
4/18/1996
8/15/1996
10/17/1996
1/21/1997
4/16/1997
8/13/1997
10/16/1997
1/20/1998
4/16/1998
8/11/1998
10/20/1998
1/21/1999
4/21/1999
8/11/1999
10/19/1999
1/19/2000
4/17/2000
9/27/2000
10/18/2000
1/17/2001
4/18/2001
8/8/2001
10/17/2001
1/16/2002
4/17/2002
8/7/2002
10/16/2002
1/22/2003
4/23/2003
8/6/2003
10/22/2003
1/21/2004
4/21/2004
8/4/2004
10/20/2004
1/19/2005
4/21/2005
8/8/2005
10/19/2005
1/18/2006
4/24/2006
8/7/2006
10/23/2006
1/23/2007
4/24/2007
8/7/2007
10/23/2007
1/22/2008
4/22/2008
8/5/2008
10/21/2008
1/21/2009
4/21/2009
8/4/2009
10/20/2009
1/19/2010
4/27/2010
8/5/2010
10/26/2010
1/25/2011
4/26/2011
8/2/2011
10/25/2011
1/24/2012
4/24/2012
8/2/2012
10/23/2012
1/22/2013
4/23/2013
8/1/2013
10/29/2013
1/28/2014
5/1/2014
8/5/2014
10/28/2014
1/27/2015
4/28/2015
8/4/2015
10/27/2015
1/26/2016
04/26/2016
08/02/2016
10/25/2016
01/24/2017
04/25/2017
