MAG
LATEST_ANNOUNCEMENT_DT
4/26/1996
7/31/1996
10/18/1996
1/16/1997
4/14/1997
8/19/1997
10/14/1997
1/21/1998
4/22/1998
8/19/1998
10/26/1998
2/3/1999
5/12/1999
8/26/1999
11/9/1999
2/1/2000
5/5/2000
8/25/2000
11/1/2000
2/1/2001
5/3/2001
8/15/2001
10/31/2001
1/23/2002
4/23/2002
8/13/2002
10/30/2002
1/31/2003
4/23/2003
8/21/2003
10/29/2003
1/30/2004
5/6/2004
8/20/2004
10/27/2004
2/3/2005
4/29/2005
8/25/2005
11/1/2005
2/2/2006
5/12/2006
9/29/2006
11/10/2006
1/31/2007
5/1/2007
8/22/2007
10/31/2007
2/6/2008
4/29/2008
8/13/2008
10/29/2008
2/5/2009
5/8/2009
8/12/2009
11/6/2009
2/5/2010
5/3/2010
8/31/2010
11/11/2010
2/9/2011
5/9/2011
8/31/2011
5/10/2012
8/8/2012
11/7/2012
3/13/2013
5/8/2013
8/13/2013
11/6/2013
3/12/2014
5/7/2014
8/5/2014
11/10/2014
3/12/2015
5/7/2015
8/4/2015
