SONC
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/15/1996
10/21/1996
1/13/1997
4/14/1997
6/26/1997
10/20/1997
1/12/1998
3/24/1998
6/23/1998
10/12/1998
1/4/1999
3/24/1999
6/22/1999
10/18/1999
1/4/2000
6/22/2000
10/16/2000
1/2/2001
3/26/2001
6/25/2001
10/17/2001
1/2/2002
3/25/2002
6/24/2002
10/14/2002
1/6/2003
3/24/2003
6/23/2003
10/14/2003
1/5/2004
3/24/2004
6/28/2004
10/12/2004
1/3/2005
3/22/2005
6/27/2005
10/12/2005
1/4/2006
3/20/2006
6/20/2006
10/16/2006
1/3/2007
3/29/2007
6/20/2007
10/15/2007
1/3/2008
3/24/2008
6/24/2008
10/17/2008
1/7/2009
3/23/2009
6/23/2009
10/20/2009
1/5/2010
3/23/2010
6/21/2010
10/19/2010
1/4/2011
3/22/2011
6/22/2011
10/18/2011
1/4/2012
3/21/2012
6/20/2012
10/16/2012
1/3/2013
3/25/2013
6/24/2013
10/21/2013
1/6/2014
3/24/2014
6/23/2014
10/21/2014
1/6/2015
3/24/2015
6/22/2015
10/19/2015
1/5/2016
3/29/2016
06/23/2016
10/24/2016
01/04/2017
03/28/2017
