THG
LATEST_ANNOUNCEMENT_DT
4/25/1995
7/25/1995
11/2/1995
2/7/1996
5/2/1996
8/1/1996
10/30/1996
2/5/1997
4/30/1997
7/31/1997
10/30/1997
2/5/1998
4/30/1998
7/30/1998
10/29/1998
2/4/1999
4/29/1999
7/29/1999
10/28/1999
2/3/2000
4/27/2000
7/27/2000
10/26/2000
2/5/2001
4/30/2001
7/30/2001
10/29/2001
2/4/2002
4/29/2002
7/29/2002
10/29/2002
2/3/2003
4/28/2003
7/28/2003
10/27/2003
1/29/2004
4/26/2004
7/26/2004
10/25/2004
1/31/2005
4/28/2005
7/26/2005
10/25/2005
1/30/2006
5/1/2006
7/31/2006
10/30/2006
1/29/2007
4/30/2007
7/30/2007
10/29/2007
1/28/2008
4/28/2008
7/31/2008
10/30/2008
2/5/2009
5/7/2009
7/30/2009
11/2/2009
2/3/2010
5/6/2010
8/4/2010
11/3/2010
2/9/2011
5/2/2011
8/8/2011
11/2/2011
2/8/2012
4/30/2012
8/1/2012
10/31/2012
2/6/2013
4/29/2013
7/31/2013
10/30/2013
2/5/2014
4/29/2014
7/31/2014
10/29/2014
2/4/2015
4/30/2015
7/29/2015
10/28/2015
02/04/2016
05/04/2016
07/28/2016
11/03/2016
02/02/2017
05/03/2017
