ATNI
LATEST_ANNOUNCEMENT_DT
5/7/1996
7/30/1996
11/4/1996
3/31/1997
5/15/1997
8/15/1997
11/14/1997
3/31/1998
4/28/1998
7/30/1998
11/3/1998
3/8/1999
5/3/1999
8/6/1999
10/25/1999
3/1/2000
4/27/2000
7/19/2000
10/26/2000
3/6/2001
5/2/2001
7/31/2001
11/1/2001
3/7/2002
4/24/2002
8/6/2002
10/25/2002
2/27/2003
4/30/2003
7/29/2003
10/29/2003
3/12/2004
4/28/2004
7/29/2004
10/28/2004
3/31/2005
4/29/2005
7/28/2005
11/2/2005
3/7/2006
5/1/2006
8/3/2006
10/31/2006
3/1/2007
5/3/2007
7/30/2007
11/1/2007
2/28/2008
5/5/2008
7/31/2008
11/5/2008
3/4/2009
4/29/2009
7/30/2009
10/29/2009
3/4/2010
5/6/2010
8/5/2010
10/28/2010
3/1/2011
5/3/2011
8/2/2011
11/2/2011
3/1/2012
5/2/2012
8/1/2012
10/29/2012
2/21/2013
4/29/2013
7/30/2013
11/4/2013
2/25/2014
4/29/2014
7/29/2014
10/29/2014
2/25/2015
4/28/2015
7/29/2015
10/28/2015
2/24/2016
04/27/2016
07/27/2016
10/26/2016
02/22/2017
04/26/2017
