MSA
LATEST_ANNOUNCEMENT_DT
10/29/1992
4/23/1993
7/21/1993
10/29/1993
2/22/1994
4/28/1994
7/20/1994
10/21/1994
2/21/1995
4/26/1995
7/20/1995
10/25/1995
2/19/1996
4/23/1996
7/25/1996
10/22/1996
2/18/1997
4/23/1997
7/28/1997
10/22/1997
2/24/1998
4/29/1998
8/4/1998
10/23/1998
3/4/1999
5/7/1999
8/3/1999
10/27/1999
2/22/2000
5/3/2000
8/10/2000
10/25/2000
2/28/2001
5/3/2001
7/31/2001
10/29/2001
2/28/2002
5/7/2002
8/6/2002
11/5/2002
3/6/2003
5/7/2003
8/5/2003
11/3/2003
3/2/2004
4/29/2004
8/4/2004
11/3/2004
3/1/2005
5/5/2005
8/3/2005
11/3/2005
3/1/2006
5/10/2006
8/1/2006
11/2/2006
2/27/2007
5/9/2007
8/7/2007
11/1/2007
2/29/2008
5/1/2008
7/28/2008
10/27/2008
2/26/2009
4/30/2009
7/28/2009
10/29/2009
2/26/2010
4/29/2010
7/28/2010
10/28/2010
2/28/2011
4/28/2011
7/28/2011
10/27/2011
2/15/2012
4/25/2012
7/25/2012
10/24/2012
2/13/2013
4/24/2013
7/24/2013
10/23/2013
2/12/2014
4/22/2014
7/23/2014
10/22/2014
2/16/2015
4/27/2015
7/22/2015
10/21/2015
02/23/2016
04/28/2016
07/20/2016
10/27/2016
02/23/2017
04/27/2017
