PRI
LATEST_ANNOUNCEMENT_DT
5/5/2010
8/3/2010
11/2/2010
2/8/2011
5/3/2011
8/2/2011
11/1/2011
2/7/2012
5/1/2012
8/7/2012
11/7/2012
2/7/2013
5/7/2013
8/6/2013
11/6/2013
2/10/2014
5/5/2014
8/6/2014
11/4/2014
2/9/2015
5/6/2015
8/5/2015
11/04/2015
02/10/2016
05/04/2016
08/08/2016
11/09/2016
02/08/2017
05/03/2017
