SYMM
LATEST_ANNOUNCEMENT_DT
4/11/1996
7/23/1996
10/9/1996
1/9/1997
4/10/1997
7/22/1997
10/9/1997
1/8/1998
4/9/1998
7/23/1998
10/14/1998
1/14/1999
4/13/1999
7/22/1999
10/7/1999
1/19/2000
4/12/2000
8/2/2000
10/17/2000
1/18/2001
4/19/2001
8/2/2001
10/25/2001
1/24/2002
4/25/2002
7/31/2002
10/30/2002
2/6/2003
5/1/2003
8/7/2003
10/28/2003
1/29/2004
4/29/2004
7/29/2004
10/27/2004
1/27/2005
4/28/2005
8/9/2005
10/27/2005
1/26/2006
4/27/2006
8/9/2006
10/26/2006
2/1/2007
5/2/2007
8/9/2007
11/1/2007
1/31/2008
6/17/2008
8/20/2008
10/29/2008
2/4/2009
5/8/2009
8/11/2009
11/3/2009
2/3/2010
5/4/2010
8/10/2010
10/26/2010
2/2/2011
4/21/2011
8/8/2011
10/26/2011
1/25/2012
4/25/2012
8/8/2012
10/24/2012
1/23/2013
4/24/2013
8/7/2013
10/21/2013
