FFBC
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/15/1996
10/16/1996
1/15/1997
4/16/1997
7/15/1997
10/15/1997
1/15/1998
4/15/1998
7/16/1998
10/15/1998
1/15/1999
4/15/1999
7/15/1999
10/18/1999
1/18/2000
4/17/2000
7/17/2000
10/16/2000
1/23/2001
4/17/2001
7/17/2001
10/18/2001
1/18/2002
4/16/2002
7/16/2002
10/18/2002
1/17/2003
4/17/2003
7/21/2003
10/20/2003
1/20/2004
4/20/2004
7/20/2004
10/20/2004
1/20/2005
4/20/2005
7/22/2005
11/2/2005
2/10/2006
4/24/2006
7/28/2006
10/27/2006
1/26/2007
4/20/2007
7/25/2007
10/23/2007
1/30/2008
4/29/2008
7/29/2008
10/30/2008
1/28/2009
4/29/2009
8/3/2009
11/5/2009
1/26/2010
4/29/2010
8/3/2010
11/2/2010
1/26/2011
4/27/2011
7/28/2011
10/26/2011
1/25/2012
4/25/2012
7/24/2012
10/25/2012
1/29/2013
4/24/2013
7/25/2013
10/24/2013
1/30/2014
4/29/2014
7/24/2014
10/30/2014
1/29/2015
4/30/2015
7/30/2015
10/22/2015
1/21/2016
04/21/2016
07/21/2016
10/20/2016
01/19/2017
04/20/2017
