SGGHU
LATEST_ANNOUNCEMENT_DT
5/11/2001
8/10/2001
11/9/2001
3/20/2002
5/1/2002
8/2/2002
10/30/2002
2/27/2003
4/29/2003
7/31/2003
10/29/2003
2/25/2004
4/28/2004
7/29/2004
10/28/2004
2/24/2005
4/28/2005
7/28/2005
10/27/2005
3/9/2006
5/9/2006
8/8/2006
11/9/2006
3/16/2007
5/7/2007
8/9/2007
11/8/2007
7/5/2011
7/5/2011
7/5/2011
7/5/2011
9/29/2011
12/12/2011
12/29/2011
3/14/2012
5/4/2012
8/14/2012
11/9/2012
3/13/2013
5/15/2013
8/1/2013
11/6/2013
3/13/2014
5/8/2014
8/7/2014
11/6/2014
3/16/2015
5/12/2015
8/17/2015
11/9/2015
3/15/2016
