NCS
LATEST_ANNOUNCEMENT_DT
5/23/1996
8/22/1996
12/12/1996
2/25/1997
5/27/1997
8/26/1997
12/11/1997
2/26/1998
5/27/1998
8/27/1998
12/10/1998
2/24/1999
5/27/1999
8/25/1999
12/8/1999
2/23/2000
5/24/2000
8/23/2000
12/5/2000
2/27/2001
5/23/2001
8/28/2001
12/13/2001
2/27/2002
5/29/2002
8/28/2002
12/11/2002
2/26/2003
5/28/2003
8/27/2003
12/10/2003
2/25/2004
5/26/2004
8/25/2004
12/8/2004
3/2/2005
6/1/2005
8/31/2005
12/7/2005
3/1/2006
5/31/2006
8/30/2006
12/6/2006
2/28/2007
5/31/2007
9/4/2007
12/11/2007
3/3/2008
6/2/2008
9/2/2008
12/10/2008
3/10/2009
6/9/2009
9/9/2009
12/8/2009
3/9/2010
6/8/2010
9/7/2010
12/7/2010
3/8/2011
6/7/2011
9/7/2011
12/6/2011
3/6/2012
5/30/2012
9/5/2012
12/4/2012
3/5/2013
6/4/2013
9/4/2013
12/10/2013
3/11/2014
6/10/2014
9/8/2014
12/9/2014
3/10/2015
6/2/2015
9/2/2015
12/10/2015
3/8/2016
