BFS
LATEST_ANNOUNCEMENT_DT
5/9/1996
8/7/1996
11/5/1996
2/11/1997
4/16/1997
8/5/1997
11/3/1997
2/10/1998
4/15/1998
8/12/1998
11/3/1998
2/8/1999
4/21/1999
8/2/1999
11/3/1999
2/8/2000
4/26/2000
8/8/2000
11/2/2000
2/6/2001
4/25/2001
8/7/2001
11/6/2001
2/5/2002
4/24/2002
8/6/2002
11/5/2002
2/19/2003
4/23/2003
8/5/2003
11/5/2003
2/3/2004
4/22/2004
8/3/2004
11/2/2004
2/23/2005
5/4/2005
8/8/2005
11/8/2005
2/22/2006
4/26/2006
8/8/2006
11/7/2006
2/22/2007
4/25/2007
8/8/2007
11/8/2007
2/19/2008
4/23/2008
8/7/2008
11/7/2008
2/23/2009
4/22/2009
8/6/2009
11/5/2009
2/23/2010
5/3/2010
8/4/2010
11/4/2010
3/1/2011
4/28/2011
8/3/2011
11/2/2011
3/8/2012
5/1/2012
8/2/2012
11/2/2012
3/7/2013
4/30/2013
7/30/2013
10/29/2013
3/4/2014
5/6/2014
7/31/2014
10/30/2014
3/5/2015
5/5/2015
7/30/2015
10/29/2015
3/3/2016
05/03/2016
08/04/2016
11/03/2016
03/09/2017
