PAY
LATEST_ANNOUNCEMENT_DT
4/21/2005
6/2/2005
8/25/2005
12/1/2005
3/2/2006
5/22/2006
8/31/2006
12/7/2006
3/1/2007
5/29/2007
9/6/2007
8/19/2008
8/19/2008
8/19/2008
9/9/2008
12/16/2008
3/3/2009
6/2/2009
9/1/2009
12/14/2009
3/2/2010
5/26/2010
8/24/2010
12/2/2010
3/1/2011
6/2/2011
9/6/2011
12/14/2011
3/5/2012
5/24/2012
9/5/2012
12/13/2012
3/5/2013
6/5/2013
9/5/2013
12/17/2013
3/11/2014
6/5/2014
9/4/2014
12/15/2014
3/10/2015
6/4/2015
9/3/2015
12/14/2015
03/10/2016
06/07/2016
09/01/2016
12/12/2016
03/09/2017
