UTHR
LATEST_ANNOUNCEMENT_DT
4/16/1999
8/6/1999
11/8/1999
2/29/2000
5/9/2000
8/8/2000
11/1/2000
3/21/2001
5/9/2001
8/10/2001
11/8/2001
2/25/2002
5/9/2002
8/8/2002
11/8/2002
2/25/2003
5/6/2003
8/5/2003
11/6/2003
2/24/2004
5/6/2004
8/3/2004
11/3/2004
2/22/2005
5/3/2005
8/2/2005
10/31/2005
2/21/2006
5/2/2006
8/1/2006
10/31/2006
2/20/2007
5/1/2007
7/31/2007
11/1/2007
2/19/2008
5/1/2008
7/31/2008
10/30/2008
2/17/2009
5/1/2009
7/31/2009
10/29/2009
2/15/2011
4/29/2010
7/28/2010
10/28/2010
2/15/2011
4/28/2011
7/28/2011
10/27/2011
2/14/2012
4/26/2012
7/26/2012
11/1/2012
2/26/2013
4/25/2013
7/25/2013
10/29/2013
2/25/2014
4/29/2014
7/29/2014
10/28/2014
2/24/2015
4/28/2015
7/28/2015
10/27/2015
02/25/2016
04/28/2016
07/28/2016
10/27/2016
02/22/2017
04/27/2017
