MRCHQ
LATEST_ANNOUNCEMENT_DT
7/16/1996
10/16/1996
2/11/1997
4/16/1997
7/16/1997
10/13/1997
2/13/1998
4/14/1998
7/14/1998
10/9/1998
1/15/1999
4/9/1999
7/12/1999
10/15/1999
1/24/2000
4/25/2000
7/25/2000
10/24/2000
2/12/2001
