GFF
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/24/1996
11/6/1996
1/29/1997
4/29/1997
7/28/1997
11/5/1997
2/5/1998
4/28/1998
7/30/1998
11/5/1998
2/4/1999
4/29/1999
7/29/1999
11/11/1999
1/31/2000
5/4/2000
8/2/2000
11/10/2000
2/7/2001
5/2/2001
8/6/2001
11/7/2001
2/6/2002
4/30/2002
8/1/2002
11/6/2002
2/5/2003
4/30/2003
8/7/2003
11/5/2003
2/5/2004
4/29/2004
8/3/2004
11/4/2004
2/8/2005
5/3/2005
8/3/2005
11/3/2005
2/3/2006
5/3/2006
8/3/2006
11/3/2006
2/2/2007
5/3/2007
8/6/2007
11/5/2007
2/6/2008
5/8/2008
8/7/2008
11/20/2008
2/4/2009
5/7/2009
8/6/2009
11/19/2009
2/4/2010
5/6/2010
8/2/2010
11/16/2010
2/3/2011
5/5/2011
8/2/2011
11/17/2011
1/31/2012
5/8/2012
8/2/2012
11/13/2012
1/30/2013
5/7/2013
8/6/2013
11/13/2013
1/30/2014
5/1/2014
7/30/2014
11/12/2014
1/29/2015
4/30/2015
7/30/2015
11/12/2015
1/28/2016
5/4/2016
8/3/2016
