UNFI
LATEST_ANNOUNCEMENT_DT
12/3/1996
3/3/1997
6/2/1997
9/8/1997
12/8/1997
3/2/1998
5/21/1998
9/3/1998
12/7/1998
3/1/1999
6/1/1999
9/10/1999
12/6/1999
3/6/2000
6/6/2000
9/12/2000
12/5/2000
3/6/2001
6/5/2001
9/6/2001
12/4/2001
3/5/2002
6/4/2002
9/5/2002
12/4/2002
3/4/2003
6/4/2003
9/2/2003
12/2/2003
3/2/2004
6/1/2004
8/31/2004
11/30/2004
3/1/2005
5/31/2005
8/31/2005
11/29/2005
2/28/2006
5/25/2006
8/30/2006
11/21/2006
2/20/2007
5/22/2007
8/31/2007
11/20/2007
2/21/2008
5/20/2008
9/3/2008
11/25/2008
2/24/2009
6/2/2009
9/9/2009
12/10/2009
3/2/2010
6/2/2010
9/8/2010
12/8/2010
3/3/2011
6/2/2011
9/8/2011
11/30/2011
3/6/2012
6/5/2012
9/11/2012
11/30/2012
2/26/2013
5/28/2013
9/12/2013
12/3/2013
3/10/2014
6/10/2014
9/17/2014
12/4/2014
3/9/2015
6/8/2015
9/15/2015
12/7/2015
3/7/2016
06/06/2016
09/12/2016
12/07/2016
03/08/2017
