BCEI
LATEST_ANNOUNCEMENT_DT
12/5/2011
8/26/2011
6/9/2011
8/26/2011
12/5/2011
3/22/2012
5/10/2012
8/13/2012
11/8/2012
3/14/2013
5/9/2013
8/8/2013
11/7/2013
2/27/2014
5/8/2014
8/7/2014
11/6/2014
2/26/2015
5/7/2015
7/27/2015
11/5/2015
2/29/2016
05/05/2016
08/01/2016
11/03/2016
