RURL
LATEST_ANNOUNCEMENT_DT
4/25/1996
8/22/1996
10/24/1996
1/23/1997
4/24/1997
8/21/1997
10/23/1997
1/22/1998
4/23/1998
8/26/1998
10/29/1998
1/28/1999
4/29/1999
8/27/1999
10/28/1999
2/15/2000
4/27/2000
9/21/2000
11/14/2000
2/15/2001
5/14/2001
10/15/2001
11/14/2001
2/13/2002
5/15/2002
9/30/2002
11/14/2002
2/13/2003
6/16/2003
9/29/2003
11/14/2003
2/13/2004
5/14/2004
9/2/2004
11/11/2004
2/7/2005
5/16/2005
9/13/2005
11/9/2005
2/9/2006
5/10/2006
9/13/2006
11/14/2006
3/22/2007
5/10/2007
11/14/2007
11/14/2007
2/11/2008
5/12/2008
9/15/2008
11/10/2008
2/9/2009
5/11/2009
9/9/2009
11/9/2009
2/9/2010
5/10/2010
9/8/2010
11/8/2010
2/9/2011
5/10/2011
