ATX
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/18/1996
10/17/1996
2/10/1997
4/24/1997
7/18/1997
10/22/1997
2/10/1998
7/16/1998
10/20/1998
2/11/1999
4/22/1999
7/22/1999
10/21/1999
2/11/2000
4/27/2000
7/27/2000
10/25/2000
2/20/2001
4/26/2001
7/25/2001
10/24/2001
2/14/2002
4/25/2002
7/24/2002
10/23/2002
2/13/2003
4/24/2003
7/24/2003
10/22/2003
2/18/2004
4/22/2004
7/21/2004
10/20/2004
2/16/2005
4/28/2005
7/27/2005
10/26/2005
2/27/2006
4/27/2006
7/26/2006
10/26/2006
2/21/2007
5/1/2007
7/24/2007
10/24/2007
2/20/2008
4/24/2008
7/23/2008
10/22/2008
2/25/2009
4/23/2009
7/23/2009
10/21/2009
2/24/2010
4/22/2010
7/28/2010
10/27/2010
2/23/2011
4/28/2011
7/20/2011
10/26/2011
2/22/2012
4/26/2012
7/25/2012
10/30/2012
2/20/2013
4/25/2013
7/24/2013
10/30/2013
