BFTH
LATEST_ANNOUNCEMENT_DT
8/8/1996
11/8/1996
2/28/1997
5/7/1997
7/30/1997
11/5/1997
2/18/1998
4/28/1998
7/30/1998
10/29/1998
2/11/1999
4/28/1999
8/3/1999
10/26/1999
2/9/2000
5/3/2000
8/3/2000
11/7/2000
2/14/2001
5/8/2001
8/7/2001
11/6/2001
2/13/2002
5/2/2002
8/6/2002
11/12/2002
2/12/2003
5/7/2003
8/5/2003
10/28/2003
3/11/2004
5/10/2004
11/30/2005
11/30/2005
11/30/2005
11/30/2005
11/30/2005
11/30/2005
6/27/2006
6/27/2006
9/11/2006
11/9/2006
6/29/2007
8/31/2007
9/28/2007
