GIX
LATEST_ANNOUNCEMENT_DT
5/16/1996
8/15/1996
12/12/1996
2/20/1997
5/15/1997
8/14/1997
12/18/1997
2/19/1998
5/21/1998
10/30/1998
3/29/1999
4/14/1999
7/21/1999
10/29/1999
