AZZ
LATEST_ANNOUNCEMENT_DT
3/28/1996
6/19/1996
9/18/1996
12/18/1996
3/27/1997
6/18/1997
9/17/1997
12/17/1997
3/30/1998
6/17/1998
9/16/1998
12/16/1998
4/1/1999
6/24/1999
9/23/1999
12/22/1999
4/4/2000
6/21/2000
9/20/2000
12/20/2000
4/3/2001
7/13/2001
9/26/2001
12/19/2001
4/2/2002
6/20/2002
9/19/2002
12/19/2002
4/3/2003
6/26/2003
9/25/2003
1/8/2004
4/15/2004
6/24/2004
9/23/2004
1/6/2005
4/8/2005
6/24/2005
10/17/2005
1/6/2006
4/7/2006
6/30/2006
9/29/2006
1/5/2007
4/10/2007
6/29/2007
9/28/2007
1/4/2008
4/4/2008
6/27/2008
9/26/2008
1/9/2009
4/3/2009
6/26/2009
9/25/2009
1/8/2010
4/1/2010
6/25/2010
9/30/2010
1/7/2011
4/7/2011
6/30/2011
9/29/2011
1/6/2012
4/5/2012
6/28/2012
9/27/2012
1/9/2013
4/8/2013
6/28/2013
9/27/2013
1/8/2014
4/4/2014
6/27/2014
10/1/2014
1/9/2015
4/22/2015
7/1/2015
9/29/2015
1/8/2016
04/21/2016
07/05/2016
10/05/2016
01/06/2017
04/20/2017
