CHS
LATEST_ANNOUNCEMENT_DT
5/2/1996
8/1/1996
10/31/1996
3/11/1997
6/4/1997
9/3/1997
12/3/1997
3/4/1998
6/3/1998
9/2/1998
12/2/1998
3/2/1999
6/7/1999
8/31/1999
12/8/1999
2/29/2000
5/25/2000
8/24/2000
11/29/2000
3/7/2001
5/31/2001
8/30/2001
12/5/2001
3/5/2002
5/29/2002
8/29/2002
12/3/2002
3/4/2003
5/29/2003
8/27/2003
12/2/2003
3/3/2004
5/27/2004
8/26/2004
11/30/2004
3/2/2005
5/26/2005
8/25/2005
11/29/2005
3/1/2006
5/25/2006
8/23/2006
11/28/2006
3/6/2007
5/30/2007
8/29/2007
12/4/2007
3/5/2008
5/28/2008
8/26/2008
11/25/2008
3/3/2009
5/27/2009
8/25/2009
11/18/2009
2/24/2010
5/19/2010
8/18/2010
11/17/2010
2/23/2011
5/18/2011
8/17/2011
11/22/2011
2/22/2012
5/16/2012
8/22/2012
11/20/2012
2/28/2013
5/29/2013
8/28/2013
11/26/2013
2/27/2014
5/28/2014
8/27/2014
11/25/2014
2/26/2015
5/27/2015
8/26/2015
11/24/2015
2/25/2016
05/26/2016
08/31/2016
11/22/2016
02/22/2017
05/25/2017
