TCO
LATEST_ANNOUNCEMENT_DT
5/1/1995
8/1/1995
11/1/1995
2/29/1996
5/1/1996
8/1/1996
10/31/1996
2/18/1997
4/28/1997
7/30/1997
11/3/1997
2/18/1998
4/27/1998
7/29/1998
11/3/1998
2/16/1999
4/27/1999
7/29/1999
11/3/1999
2/9/2000
5/3/2000
8/1/2000
11/7/2000
2/13/2001
4/30/2001
7/31/2001
11/7/2001
2/12/2002
5/7/2002
7/30/2002
11/4/2002
2/10/2003
5/9/2003
8/1/2003
10/31/2003
2/4/2004
4/28/2004
7/28/2004
10/21/2004
2/8/2005
4/20/2005
7/21/2005
10/24/2005
2/6/2006
4/20/2006
7/27/2006
10/25/2006
2/7/2007
4/19/2007
7/24/2007
10/22/2007
2/12/2008
4/22/2008
7/24/2008
10/21/2008
2/11/2009
4/29/2009
7/23/2009
10/26/2009
2/9/2010
4/22/2010
7/27/2010
10/26/2010
2/10/2011
4/20/2011
7/19/2011
10/20/2011
2/8/2012
4/26/2012
7/26/2012
10/24/2012
2/13/2013
4/25/2013
7/25/2013
10/24/2013
2/12/2014
4/24/2014
7/30/2014
10/30/2014
2/12/2015
4/29/2015
7/30/2015
10/26/2015
02/10/2016
05/02/2016
07/28/2016
11/01/2016
02/09/2017
05/01/2017
