CRY
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/23/1996
10/22/1996
2/18/1997
4/22/1997
7/21/1997
10/20/1997
2/11/1998
4/21/1998
7/21/1998
10/16/1998
2/2/1999
4/22/1999
7/20/1999
10/19/1999
2/8/2000
4/18/2000
7/18/2000
10/17/2000
1/31/2001
4/17/2001
7/17/2001
10/16/2001
1/29/2002
4/23/2002
7/23/2002
10/29/2002
2/25/2003
5/1/2003
8/5/2003
11/4/2003
2/26/2004
5/10/2004
8/5/2004
11/4/2004
2/22/2005
5/5/2005
8/4/2005
11/3/2005
2/22/2006
5/3/2006
8/3/2006
11/2/2006
2/20/2007
5/1/2007
7/31/2007
11/1/2007
2/21/2008
4/30/2008
7/31/2008
10/30/2008
2/19/2009
4/30/2009
7/30/2009
10/29/2009
2/18/2010
4/28/2010
7/29/2010
11/4/2010
2/17/2011
4/28/2011
7/28/2011
10/27/2011
2/16/2012
4/26/2012
7/31/2012
10/30/2012
2/14/2013
4/30/2013
7/25/2013
10/29/2013
2/20/2014
4/29/2014
7/24/2014
10/28/2014
2/17/2015
4/28/2015
7/28/2015
10/27/2015
02/16/2016
04/27/2016
07/25/2016
10/26/2016
02/20/2017
04/26/2017
