RGR
LATEST_ANNOUNCEMENT_DT
5/9/1996
8/8/1996
11/7/1996
2/24/1997
5/12/1997
8/8/1997
11/6/1997
2/23/1998
5/5/1998
8/4/1998
11/2/1998
2/16/1999
5/5/1999
7/28/1999
10/27/1999
2/15/2000
4/24/2000
7/24/2000
11/14/2000
2/13/2001
4/23/2001
7/23/2001
10/25/2001
2/11/2002
4/22/2002
7/19/2002
10/22/2002
3/26/2003
4/22/2003
7/18/2003
11/3/2003
3/12/2004
4/19/2004
7/16/2004
10/20/2004
2/9/2005
4/18/2005
7/19/2005
10/20/2005
5/1/2006
5/3/2006
7/24/2006
10/23/2006
3/15/2007
4/23/2007
7/24/2007
10/24/2007
2/26/2008
4/9/2008
7/23/2008
10/29/2008
2/24/2009
4/28/2009
7/29/2009
10/28/2009
2/24/2010
4/27/2010
7/28/2010
10/27/2010
2/23/2011
4/26/2011
7/27/2011
11/2/2011
2/22/2012
5/1/2012
8/1/2012
10/31/2012
2/27/2013
4/29/2013
7/31/2013
11/5/2013
2/25/2014
5/5/2014
7/29/2014
10/29/2014
2/25/2015
5/4/2015
7/28/2015
11/5/2015
2/24/2016
05/02/2016
08/02/2016
11/01/2016
02/22/2017
05/01/2017
