SPSS
LATEST_ANNOUNCEMENT_DT
4/30/1996
7/31/1996
10/30/1996
2/19/1997
4/30/1997
7/30/1997
10/29/1997
2/18/1998
4/29/1998
7/29/1998
11/3/1998
2/16/1999
5/4/1999
8/3/1999
11/2/1999
2/15/2000
5/2/2000
8/1/2000
11/1/2000
2/21/2001
5/2/2001
7/31/2001
10/30/2001
2/20/2002
5/1/2002
7/30/2002
10/30/2002
2/12/2003
4/30/2003
7/29/2003
10/28/2003
2/17/2004
5/4/2004
8/5/2004
11/2/2004
2/15/2005
5/3/2005
8/2/2005
11/1/2005
2/15/2006
5/2/2006
8/1/2006
11/1/2006
2/13/2007
5/1/2007
7/31/2007
10/30/2007
2/12/2008
4/29/2008
7/29/2008
11/4/2008
2/17/2009
5/5/2009
8/4/2009
