DIGE
LATEST_ANNOUNCEMENT_DT
9/17/1996
11/7/1996
5/5/1997
9/12/1997
10/31/1997
2/5/1998
5/5/1998
9/16/1998
10/28/1998
1/28/1999
5/6/1999
8/26/1999
11/4/1999
2/1/2000
5/3/2000
9/7/2000
11/3/2000
2/8/2001
5/2/2001
8/16/2001
11/5/2001
2/6/2002
5/14/2002
8/27/2002
11/7/2002
2/6/2003
5/6/2003
8/26/2003
11/6/2003
2/3/2004
5/6/2004
8/12/2004
11/3/2004
2/2/2005
5/3/2005
8/11/2005
11/1/2005
2/8/2006
5/8/2006
8/8/2006
11/2/2006
2/1/2007
5/8/2007
