RECN
LATEST_ANNOUNCEMENT_DT
8/31/2000
1/11/2001
3/28/2001
7/2/2001
9/25/2001
12/20/2001
3/18/2002
7/10/2002
9/25/2002
12/18/2002
3/20/2003
7/15/2003
9/30/2003
1/7/2004
3/25/2004
7/15/2004
9/29/2004
12/22/2004
3/29/2005
7/12/2005
9/28/2005
12/21/2005
3/29/2006
7/12/2006
9/27/2006
12/21/2006
3/28/2007
7/11/2007
9/25/2007
12/20/2007
3/26/2008
7/16/2008
10/2/2008
1/6/2009
4/7/2009
7/15/2009
10/1/2009
1/6/2010
3/31/2010
7/20/2010
9/30/2010
1/5/2011
3/31/2011
7/14/2011
10/4/2011
1/4/2012
3/28/2012
7/12/2012
10/2/2012
12/20/2012
4/2/2013
7/16/2013
10/1/2013
1/2/2014
4/2/2014
7/17/2014
10/2/2014
1/7/2015
4/8/2015
7/16/2015
10/7/2015
1/6/2016
4/7/2016
07/14/2016
10/05/2016
01/04/2017
04/06/2017
