MTEX
LATEST_ANNOUNCEMENT_DT
3/31/1998
9/10/1998
11/20/1998
3/16/1999
5/7/1999
6/30/1999
10/25/1999
3/23/2000
6/1/2000
8/14/2000
11/21/2000
4/2/2001
5/15/2001
8/14/2001
9/30/2001
4/2/2002
5/16/2002
8/14/2002
11/8/2002
3/17/2003
5/15/2003
8/11/2003
11/7/2003
3/10/2004
5/10/2004
8/10/2004
11/9/2004
3/9/2005
5/9/2005
8/9/2005
11/9/2005
3/10/2006
5/10/2006
8/9/2006
11/9/2006
3/15/2007
5/4/2007
8/8/2007
11/8/2007
3/14/2008
5/9/2008
8/8/2008
11/6/2008
3/11/2009
5/6/2009
8/4/2009
11/3/2009
3/10/2010
5/5/2010
8/4/2010
11/3/2010
3/9/2011
5/4/2011
8/3/2011
11/2/2011
3/28/2012
5/9/2012
8/9/2012
11/7/2012
3/22/2013
5/9/2013
7/31/2013
11/13/2013
3/12/2014
4/30/2014
8/5/2014
11/4/2014
3/4/2015
5/12/2015
8/4/2015
11/10/2015
3/15/2016
