DRQ
LATEST_ANNOUNCEMENT_DT
3/31/1997
6/30/1997
11/11/1997
2/17/1998
4/29/1998
7/21/1998
10/29/1998
2/18/1999
4/29/1999
7/27/1999
10/28/1999
2/24/2000
4/27/2000
7/27/2000
10/27/2000
2/23/2001
4/26/2001
7/27/2001
10/31/2001
2/28/2002
4/25/2002
8/1/2002
10/31/2002
2/28/2003
5/7/2003
8/1/2003
10/30/2003
2/27/2004
4/30/2004
7/30/2004
10/29/2004
3/2/2005
4/28/2005
8/2/2005
11/4/2005
3/2/2006
5/4/2006
8/1/2006
11/2/2006
2/27/2007
5/1/2007
8/2/2007
11/1/2007
2/29/2008
5/9/2008
8/7/2008
11/10/2008
2/27/2009
5/8/2009
8/7/2009
11/6/2009
2/26/2010
5/7/2010
8/6/2010
11/5/2010
2/28/2011
5/9/2011
8/5/2011
11/4/2011
2/27/2012
5/7/2012
8/6/2012
11/9/2012
2/28/2013
5/3/2013
8/2/2013
11/1/2013
2/28/2014
5/9/2014
7/30/2014
10/31/2014
2/27/2015
4/30/2015
7/30/2015
10/29/2015
2/25/2016
05/05/2016
08/04/2016
11/03/2016
02/23/2017
04/25/2017
