TFX
LATEST_ANNOUNCEMENT_DT
4/15/1993
7/15/1993
10/14/1993
2/10/1994
4/14/1994
7/14/1994
10/13/1994
2/9/1995
4/12/1995
7/14/1995
10/12/1995
2/13/1996
4/18/1996
7/17/1996
10/16/1996
2/12/1997
4/16/1997
7/16/1997
10/15/1997
4/15/1998
7/15/1998
10/14/1998
2/10/1999
4/14/1999
7/14/1999
10/13/1999
2/9/2000
4/12/2000
7/12/2000
10/11/2000
2/14/2001
4/18/2001
7/18/2001
10/17/2001
2/13/2002
4/17/2002
7/17/2002
10/16/2002
2/12/2003
4/16/2003
7/16/2003
10/15/2003
2/11/2004
4/14/2004
7/14/2004
10/20/2004
2/24/2005
4/20/2005
7/26/2005
10/26/2005
2/27/2006
4/26/2006
7/27/2006
10/25/2006
2/28/2007
4/30/2007
7/30/2007
10/31/2007
2/28/2008
4/29/2008
7/29/2008
10/28/2008
2/25/2009
4/28/2009
7/27/2009
10/27/2009
2/24/2010
4/27/2010
7/22/2010
10/26/2010
2/24/2011
4/26/2011
7/27/2011
10/25/2011
2/23/2012
5/1/2012
7/31/2012
10/31/2012
2/21/2013
4/30/2013
7/31/2013
10/30/2013
2/21/2014
4/30/2014
7/30/2014
10/29/2014
2/20/2015
4/30/2015
7/30/2015
10/29/2015
02/25/2016
04/28/2016
07/28/2016
10/27/2016
02/23/2017
04/27/2017
