ASPXQ
LATEST_ANNOUNCEMENT_DT
4/24/1996
8/7/1996
1/21/1997
4/17/1997
7/31/1997
10/21/1997
1/22/1998
4/21/1998
7/30/1998
10/27/1998
1/26/1999
4/22/1999
7/29/1999
10/21/1999
1/20/2000
4/20/2000
7/27/2000
10/18/2000
1/18/2001
4/19/2001
7/26/2001
10/18/2001
1/24/2002
4/25/2002
8/8/2002
10/24/2002
2/11/2003
