HAE
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/15/1996
10/11/1996
1/14/1997
4/15/1997
7/15/1997
10/16/1997
1/27/1998
5/4/1998
7/27/1998
10/26/1998
1/29/1999
5/6/1999
7/29/1999
10/28/1999
1/27/2000
5/4/2000
7/27/2000
10/26/2000
1/25/2001
5/3/2001
7/26/2001
10/25/2001
1/24/2002
5/2/2002
7/25/2002
10/24/2002
1/23/2003
4/23/2003
7/24/2003
10/23/2003
1/22/2004
5/3/2004
7/29/2004
11/1/2004
1/31/2005
5/5/2005
7/28/2005
10/27/2005
1/31/2006
5/3/2006
7/27/2006
10/31/2006
1/31/2007
5/2/2007
8/2/2007
11/1/2007
1/31/2008
5/1/2008
8/1/2008
10/27/2008
2/2/2009
5/4/2009
8/3/2009
11/2/2009
2/1/2010
5/4/2010
8/2/2010
11/1/2010
1/31/2011
5/2/2011
8/1/2011
10/31/2011
1/30/2012
4/29/2012
8/1/2012
10/29/2012
1/30/2013
5/1/2013
7/29/2013
10/28/2013
1/27/2014
4/28/2014
7/30/2014
11/3/2014
1/29/2015
4/27/2015
7/27/2015
11/4/2015
2/1/2016
05/02/2016
08/01/2016
11/07/2016
02/06/2017
05/01/2017
