RGEN
LATEST_ANNOUNCEMENT_DT
6/27/1996
7/30/1996
10/23/1996
1/30/1997
5/30/1997
7/30/1997
11/13/1997
2/4/1998
6/2/1998
7/30/1998
11/2/1998
2/1/1999
5/28/1999
8/5/1999
10/28/1999
2/1/2000
5/31/2000
8/7/2000
11/13/2000
2/1/2001
6/14/2001
8/10/2001
11/1/2001
2/7/2002
8/1/2002
8/1/2002
11/7/2002
2/6/2003
6/5/2003
7/31/2003
11/12/2003
2/11/2004
6/10/2004
8/9/2004
11/9/2004
2/4/2005
4/28/2005
7/27/2005
11/3/2005
2/9/2006
6/8/2006
8/8/2006
11/2/2006
2/8/2007
6/7/2007
8/8/2007
11/8/2007
2/7/2008
6/1/2008
8/7/2008
11/6/2008
2/5/2009
6/11/2009
8/6/2009
11/5/2009
2/4/2010
6/9/2010
8/5/2010
11/2/2010
2/9/2011
6/9/2011
5/10/2012
8/2/2012
11/8/2012
3/7/2013
5/2/2013
8/1/2013
11/7/2013
3/6/2014
5/8/2014
8/11/2014
11/6/2014
3/13/2015
5/7/2015
8/6/2015
11/5/2015
2/25/2016
05/05/2016
08/04/2016
11/03/2016
02/22/2017
05/04/2017
