GEOS
LATEST_ANNOUNCEMENT_DT
1/27/1998
4/28/1998
7/28/1998
11/17/1998
1/26/1999
4/29/1999
7/30/1999
11/8/1999
1/28/2000
5/1/2000
7/24/2000
11/13/2000
1/25/2001
4/30/2001
7/30/2001
11/12/2001
1/31/2002
4/25/2002
8/1/2002
11/21/2002
1/31/2003
4/25/2003
7/28/2003
11/24/2003
1/30/2004
5/13/2004
8/11/2004
12/7/2004
2/8/2005
5/4/2005
7/28/2005
12/20/2005
2/7/2006
5/5/2006
8/2/2006
12/7/2006
2/7/2007
5/9/2007
8/3/2007
12/7/2007
2/7/2008
5/9/2008
8/8/2008
12/5/2008
2/6/2009
5/8/2009
8/7/2009
12/11/2009
2/5/2010
5/7/2010
8/6/2010
12/10/2010
2/4/2011
5/6/2011
8/5/2011
12/9/2011
2/2/2012
5/3/2012
8/2/2012
12/11/2012
2/6/2013
5/2/2013
8/6/2013
11/21/2013
2/5/2014
5/7/2014
8/6/2014
11/20/2014
2/4/2015
5/7/2015
8/6/2015
11/18/2015
2/3/2016
05/05/2016
08/04/2016
11/16/2016
02/08/2017
05/04/2017
