SF
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/22/1996
10/21/1996
1/31/1997
4/17/1997
7/23/1997
10/16/1997
1/30/1998
5/15/1998
7/23/1998
10/23/1998
1/27/1999
4/27/1999
7/23/1999
10/27/1999
1/31/2000
4/25/2000
7/19/2000
10/25/2000
1/31/2001
4/25/2001
7/25/2001
10/24/2001
1/30/2002
5/1/2002
7/23/2002
10/24/2002
2/7/2003
5/12/2003
8/6/2003
11/10/2003
2/4/2004
5/5/2004
8/4/2004
11/1/2004
2/3/2005
5/5/2005
8/9/2005
11/8/2005
2/17/2006
5/8/2006
8/8/2006
11/6/2006
2/14/2007
5/10/2007
8/9/2007
11/5/2007
2/12/2008
5/12/2008
8/11/2008
11/3/2008
2/12/2009
5/11/2009
8/10/2009
11/9/2009
2/9/2010
4/29/2010
8/9/2010
11/9/2010
2/15/2011
5/9/2011
8/8/2011
11/9/2011
2/15/2012
5/9/2012
8/8/2012
11/5/2012
2/25/2013
5/9/2013
8/8/2013
11/7/2013
2/24/2014
5/8/2014
8/6/2014
11/6/2014
2/23/2015
5/11/2015
8/10/2015
11/4/2015
2/23/2016
05/09/2016
08/02/2016
11/02/2016
01/31/2017
05/08/2017
