AMD
LATEST_ANNOUNCEMENT_DT
1/10/1992
1/8/1993
4/7/1992
7/9/1992
10/6/1992
1/8/1993
4/6/1993
7/6/1993
10/5/1993
1/7/1994
4/4/1994
7/1/1994
10/3/1994
1/6/1995
4/10/1995
7/10/1995
1/10/1996
4/9/1996
7/10/1996
10/7/1996
1/13/1997
4/7/1997
7/8/1997
10/7/1997
1/13/1998
4/7/1998
7/8/1998
10/6/1998
1/13/1999
4/14/1999
7/14/1999
10/6/1999
1/19/2000
4/12/2000
7/19/2000
10/11/2000
1/17/2001
4/18/2001
7/12/2001
10/17/2001
1/16/2002
4/17/2002
7/17/2002
10/16/2002
1/16/2003
4/16/2003
7/16/2003
10/16/2003
1/20/2004
4/14/2004
7/14/2004
10/7/2004
1/18/2005
4/13/2005
7/13/2005
10/11/2005
1/18/2006
4/12/2006
7/20/2006
10/18/2006
1/23/2007
4/19/2007
7/19/2007
10/18/2007
1/17/2008
4/17/2008
7/17/2008
10/16/2008
1/22/2009
4/21/2009
7/21/2009
10/15/2009
1/21/2010
4/15/2010
7/15/2010
10/14/2010
1/20/2011
4/21/2011
7/21/2011
10/27/2011
1/24/2012
4/19/2012
7/19/2012
10/18/2012
1/22/2013
4/18/2013
7/18/2013
10/17/2013
1/21/2014
4/17/2014
7/17/2014
10/16/2014
1/20/2015
4/16/2015
7/16/2015
10/15/2015
01/19/2016
04/21/2016
07/21/2016
10/20/2016
01/31/2017
04/20/2017
