TMP
LATEST_ANNOUNCEMENT_DT
5/30/1996
5/14/1997
7/15/1997
10/16/1997
3/16/1998
4/28/1998
7/15/1998
10/19/1998
1/27/1999
4/19/1999
7/7/1999
10/13/1999
1/28/2000
4/28/2000
7/17/2000
10/19/2000
1/24/2001
4/25/2001
7/25/2001
10/24/2001
1/30/2002
4/24/2002
7/24/2002
10/23/2002
1/29/2003
4/23/2003
7/23/2003
10/22/2003
1/28/2004
4/21/2004
7/28/2004
10/27/2004
1/26/2005
4/20/2005
7/26/2005
10/26/2005
1/25/2006
4/26/2006
7/19/2006
10/25/2006
1/24/2007
4/25/2007
7/24/2007
10/24/2007
1/30/2008
4/23/2008
7/23/2008
10/22/2008
1/28/2009
4/29/2009
7/22/2009
10/28/2009
1/27/2010
4/21/2010
7/21/2010
10/28/2010
1/26/2011
4/27/2011
7/20/2011
10/26/2011
1/25/2012
4/25/2012
7/20/2012
10/24/2012
1/25/2013
4/26/2013
7/19/2013
10/18/2013
1/24/2014
4/25/2014
7/25/2014
10/24/2014
1/28/2015
4/24/2015
7/31/2015
10/30/2015
1/29/2016
04/22/2016
07/29/2016
