BRC
LATEST_ANNOUNCEMENT_DT
5/14/1996
9/10/1996
11/12/1996
2/18/1997
5/16/1997
9/11/1997
11/14/1997
2/13/1998
5/14/1998
9/11/1998
11/12/1998
2/16/1999
5/12/1999
9/9/1999
11/11/1999
2/14/2000
5/11/2000
9/7/2000
11/13/2000
2/14/2001
5/16/2001
9/17/2001
11/13/2001
2/14/2002
5/16/2002
9/13/2002
11/12/2002
2/14/2003
5/16/2003
9/12/2003
11/18/2003
2/18/2004
5/19/2004
9/15/2004
11/16/2004
2/16/2005
5/18/2005
9/14/2005
11/21/2005
2/17/2006
5/17/2006
9/13/2006
11/15/2006
2/21/2007
5/16/2007
9/12/2007
11/20/2007
2/20/2008
5/21/2008
9/17/2008
11/20/2008
2/20/2009
5/20/2009
9/11/2009
11/19/2009
2/19/2010
5/19/2010
9/10/2010
11/18/2010
2/18/2011
5/18/2011
9/12/2011
11/18/2011
2/16/2012
5/16/2012
9/7/2012
11/15/2012
2/21/2013
5/16/2013
9/12/2013
11/21/2013
2/20/2014
5/22/2014
9/11/2014
11/20/2014
2/19/2015
5/21/2015
9/11/2015
11/19/2015
2/19/2016
05/19/2016
09/09/2016
11/16/2016
02/23/2017
05/18/2017
