AMFH
LATEST_ANNOUNCEMENT_DT
3/31/1999
6/30/1999
11/26/1999
1/24/2000
4/24/2000
7/24/2000
10/23/2000
1/29/2001
4/23/2001
7/19/2001
10/29/2001
1/29/2002
4/24/2002
7/31/2002
10/30/2002
