MICAQ
LATEST_ANNOUNCEMENT_DT
5/15/1996
8/13/1996
12/11/1996
2/19/1997
5/19/1997
8/19/1997
12/9/1997
2/17/1998
5/18/1998
8/18/1998
1/12/1999
2/23/1999
6/22/1999
9/13/1999
12/14/1999
3/20/2000
6/28/2000
9/21/2000
