ANLY
LATEST_ANNOUNCEMENT_DT
4/16/1996
8/15/1996
10/15/1996
1/16/1997
4/15/1997
8/19/1997
10/14/1997
1/16/1998
4/14/1998
8/18/1998
10/13/1998
1/19/1999
4/20/1999
8/17/1999
10/19/1999
1/18/2000
4/18/2000
8/17/2000
5/15/2001
8/14/2001
10/18/2001
2/28/2002
4/30/2002
7/30/2002
10/29/2002
2/25/2003
4/29/2003
7/29/2003
10/22/2003
2/26/2004
4/27/2004
7/27/2004
10/26/2004
2/24/2005
4/28/2005
7/28/2005
11/3/2005
2/23/2006
5/4/2006
8/10/2006
11/9/2006
2/27/2007
4/26/2007
7/25/2007
11/5/2007
3/4/2008
4/22/2008
7/29/2008
10/29/2008
2/25/2009
5/6/2009
8/5/2009
11/12/2009
2/24/2010
5/5/2010
8/4/2010
11/4/2010
2/24/2011
5/5/2011
8/4/2011
11/3/2011
2/23/2012
5/3/2012
8/2/2012
11/1/2012
2/21/2013
5/9/2013
8/12/2013
