EV
LATEST_ANNOUNCEMENT_DT
5/15/1996
8/14/1996
11/26/1996
2/14/1997
5/14/1997
8/14/1997
11/25/1997
2/18/1998
5/19/1998
8/18/1998
11/24/1998
2/16/1999
5/18/1999
8/17/1999
11/23/1999
2/15/2000
5/16/2000
8/15/2000
11/21/2000
2/14/2001
5/24/2001
8/22/2001
11/28/2001
2/26/2002
5/22/2002
8/21/2002
11/26/2002
2/26/2003
5/21/2003
8/20/2003
11/25/2003
2/25/2004
5/19/2004
8/18/2004
11/23/2004
3/2/2005
5/18/2005
8/17/2005
11/22/2005
2/28/2006
5/24/2006
8/23/2006
11/21/2006
2/28/2007
5/23/2007
8/22/2007
11/20/2007
2/21/2008
5/21/2008
8/20/2008
11/25/2008
2/25/2009
5/20/2009
8/19/2009
11/24/2009
2/24/2010
5/19/2010
8/18/2010
11/23/2010
2/23/2011
5/18/2011
8/17/2011
11/22/2011
2/22/2012
5/23/2012
8/22/2012
11/20/2012
2/20/2013
5/22/2013
8/21/2013
11/26/2013
2/19/2014
5/21/2014
8/20/2014
11/25/2014
2/25/2015
5/20/2015
8/19/2015
11/24/2015
2/24/2016
05/25/2016
08/17/2016
11/22/2016
02/22/2017
05/24/2017
